2012-12-28 02:25:08.646623: Using model(s): Small improvment model, Avg gate time by airport model. Scores: {'Small improvment model': 10.943227936067681, 'Avg gate time by airport model': 11.005632615917929}. Using mode: training. Using cutoff data: 
2012-12-28 02:28:31.106754: Using model(s): Small improvment model, Avg gate time by airport model. Scores: {'Small improvment model': 7.2503380615854027, 'Avg gate time by airport model': 7.3145137103739089}. Using mode: training. Using cutoff data: 
2012-12-28 02:32:08.123309: Using model(s): Small improvment model, Avg gate time by airport model. Scores: {'Small improvment model': 7.5158953354141573, 'Avg gate time by airport model': 7.5690823720537104}. Using mode: training. Using cutoff data: 
2012-12-28 02:40:10.623612: Using model(s): Avg gate time by airport model, Small improvment model. Scores: {'Small improvment model': 8.0923350919520534, 'Avg gate time by airport model': 8.1493567381909564}. Using mode: training. Using cutoff data: cutoff_time_list_my_cutoff.csv
2012-12-28 02:45:36.004217: Using model(s): Avg gate time by airport model, Small improvment model. Scores: {'Small improvment model': 8.0923350919520534, 'Avg gate time by airport model': 8.1493567381909564}. Using mode: training. Using cutoff data: cutoff_time_list_my_cutoff.csv
2012-12-28 02:57:05.085046: Using model(s): Avg gate time by airport model, Small improvment model. Scores: {'Small improvment model': 8.0923350919520534, 'Avg gate time by airport model': 8.1493567381909564}. Using mode: training. Using cutoff data: cutoff_time_list_my_cutoff.csv
2012-12-28 03:21:04.642511: Using model(s): Small improvment model, Avg gate time by airport model. Scores: {'Small improvment model': 9.685692968043826, 'Avg gate time by airport model': 9.7607779589389487}. Using mode: training. Using cutoff data: 
2012-12-28 17:18:31.161351: Using model(s): Small improvment model, Avg gate time by airport model. Scores: {'Small improvment model': 10.326253820867521, 'Avg gate time by airport model': 10.394387172028768}. Using mode: training. Using cutoff data: 
2012-12-28 17:30:36.301573: Using model(s): Original model, Small improvment model. Scores: {'Original model': 7.1651443229493701, 'Small improvment model': 8.0923350919520534}. Using mode: training. Using cutoff data: cutoff_time_list_my_cutoff.csv
2012-12-28 17:36:53.194363: Using model(s): Original model, Small improvment model. Scores: {'Original model': 7.1651443229493701, 'Small improvment model': 8.0923350919520534}. Using mode: training. Using cutoff data: cutoff_time_list_my_cutoff.csv
2012-12-28 17:41:55.976469: Using model(s): Original model, Small improvment model. Scores: {'Original model': 7.1651443229493701, 'Small improvment model': 8.0923350919520534}. Using mode: training. Using cutoff data: cutoff_time_list_my_cutoff.csv
2012-12-28 17:48:42.485736: Using model(s): Original model, Small improvment model. Scores: {'Original model': 7.1651443229493701, 'Small improvment model': 8.0923350919520534}. Using mode: training. Using cutoff data: cutoff_time_list_my_cutoff.csv
2012-12-28 17:53:35.563906: Using model(s): Original model, Small improvment model. Scores: {'Original model': 7.1651443229493701, 'Small improvment model': 8.0923350919520534}. Using mode: training. Using cutoff data: cutoff_time_list_my_cutoff.csv
2012-12-28 18:06:36.785627: Using model(s): Original model, Small improvment model. Scores: {'Original model': 7.1651443229493701, 'Small improvment model': 8.0923350919520534}. Using mode: training. Using cutoff data: cutoff_time_list_my_cutoff.csv
